detector,threshold,val_f1,mcc_macro,mcc_pooled,mcc_pooled_ci_low,mcc_pooled_ci_high,f1,precision,recall,accuracy,roc_auc,mcc_HRL,mcc_LRL,mcc_EN->HRL,mcc_HRL->EN,mcc_EN->LRL,mcc_LRL->EN,mcc_ES->LRL,mcc_LRL->ES
BLASER-2.0-QE,-3.2159,0.75,0.374,0.3165,0.2732,0.3585,0.4456,0.5915,0.3574,0.7555,0.7779,0.466,0.282,0.3549,0.577,0.3959,0.2815,0.1651,0.059
SONAR cosine,-0.3783,0.6667,0.3595,0.3325,0.2907,0.3757,0.3679,0.7478,0.244,0.7695,0.7904,0.52,0.199,0.3713,0.6688,0.3192,0.1819,0.1623,-0.0736
ALTI+,-0.4188,0.6818,0.3369,0.2831,0.2416,0.3246,0.451,0.5194,0.3986,0.7332,0.7004,0.562,0.1118,0.5455,0.5786,0.2326,0.0241,0.1246,0.0
Seq log-loss,1.1834,0.6182,0.3362,0.2572,0.2152,0.3003,0.4153,0.5158,0.3475,0.7309,0.7283,0.55,0.1225,0.4606,0.6393,0.1963,0.0757,0.0703,0.0936
LaBSE cosine,-0.3853,0.766,0.3336,0.4433,0.4038,0.4841,0.5605,0.6802,0.4766,0.7945,0.8254,0.5234,0.1438,0.4232,0.6235,0.2842,0.0801,0.0164,0.0411
LASER cosine,-0.6578,0.5208,0.2843,0.2289,0.1864,0.2697,0.3764,0.5072,0.2993,0.7274,0.697,0.4349,0.1338,0.35,0.5197,0.2573,0.0344,0.1312,0.0643
COMET-QE,1.2733,0.5333,0.2645,0.3892,0.3622,0.4172,0.5696,0.4112,0.9262,0.6151,0.7106,0.4507,0.0783,0.4306,0.4708,0.1221,0.0866,0.0,0.0
XNLI,-0.7585,0.5412,0.219,0.3538,0.3239,0.3834,0.5538,0.4032,0.8837,0.6084,0.7039,0.3876,0.0503,0.3193,0.4559,0.1399,0.0229,0.0,-0.0858
